Gene,Drug,CPIC Publications (PMID)
CYP2C19,amitriptyline,23486447;27997040
CYP2C19,citalopram,25974703
CYP2C19,clopidogrel,21716271;23698643
CYP2C19,escitalopram,25974703
CYP2C19,voriconazole,27981572
CYP2C19,clomipramine,23486447;27997040
CYP2C19,dexlansoprazole,
CYP2C19,doxepin,23486447;27997040
CYP2C19,esomeprazole,
CYP2C19,imipramine,23486447;27997040
CYP2C19,lansoprazole,
CYP2C19,omeprazole,
CYP2C19,pantoprazole,
CYP2C19,rabeprazole,
CYP2C19,sertraline,25974703
CYP2C19,trimipramine,23486447;27997040
CYP2C19,brivaracetam,
CYP2C19,carisoprodol,
CYP2C19,clobazam,
CYP2C19,diazepam,
CYP2C19,flibanserin,
CYP2C9,phenytoin,25099164
CYP2C9,warfarin,21900891;28198005
CYP2C9,acenocoumarol,
CYP2C9,celecoxib,
CYP2C9,flurbiprofen,
CYP2C9,diclofenac,
CYP2C9,flibanserin,
CYP2C9,lesinurad,
CYP2D6,amitriptyline,23486447;27997040
CYP2D6,atomoxetine,30801677
CYP2D6,codeine,22205192;24458010
CYP2D6,fluvoxamine,25974703
CYP2D6,nortriptyline,23486447;27997040
CYP2D6,ondansetron,28002639
CYP2D6,oxycodone,
CYP2D6,paroxetine,25974703
CYP2D6,tamoxifen,29385237
CYP2D6,tramadol,
CYP2D6,tropisetron,28002639
CYP2D6,aripiprazole,
CYP2D6,brexpiprazole,
CYP2D6,clomipramine,23486447;27997040
CYP2D6,desipramine,23486447;27997040
CYP2D6,dextromethorphan,
CYP2D6,doxepin,23486447;27997040
CYP2D6,eliglustat,
CYP2D6,imipramine,23486447;27997040
CYP2D6,methylphenidate,
CYP2D6,mirtazapine,
CYP2D6,pimozide,
CYP2D6,protriptyline,
CYP2D6,quinidine,
CYP2D6,risperidone,
CYP2D6,sertraline,
CYP2D6,trimipramine,23486447;27997040
CYP2D6,venlafaxine,
CYP2D6,vortioxetine,
CYP2D6,donepezil,
CYP2D6,iloperidone,
CYP2D6,perphenazine,
CYP2D6,carvedilol,
CYP2D6,cevimeline,
CYP2D6,clozapine,
CYP2D6,darifenacin,
CYP2D6,dolasetron,
CYP2D6,duloxetine,
CYP2D6,fesoterodine,
CYP2D6,flecainide,
CYP2D6,flibanserin,
CYP2D6,fluoxetine,
CYP2D6,haloperidol,
CYP2D6,metoprolol,
CYP2D6,modafinil,
CYP2D6,olanzapine,
CYP2D6,palonosetron,
CYP2D6,propafenone,
CYP2D6,propranolol,
CYP2D6,quinine,
CYP2D6,tamsulosin,
CYP2D6,terbinafine,
CYP2D6,tetrabenazine,
CYP2D6,thioridazine,
CYP2D6,timolol,
CYP2D6,tiotropium,
CYP2D6,tolterodine,
CYP2D6,zuclopenthixol,
CYP2D6,galantamine,
CYP3A4,tacrolimus,
CYP3A5,tacrolimus,25801146
CYP3A5,atazanavir,
CYP3A5,cyclosporine,
CYP3A5,midazolam,
CYP3A5,sirolimus,
OPRM1,alfentanil,
OPRM1,ethanol,
OPRM1,fentanyl,
OPRM1,methadone,
OPRM1,morphine,
OPRM1,naloxone,
OPRM1,naltrexone,
OPRM1,tramadol,
SLCO1B1,simvastatin,22617227;24918167
SLCO1B1,cerivastatin,
SLCO1B1,methotrexate,
SLCO1B1,pravastatin,
SLCO1B1,rosuvastatin,
VKORC1,warfarin,21900891;28198005
CYP1A2,Caffeine,PMC3346273
CYP1A2,Clozapine ,PMC3346273
CYP1A2,clopidogrel. ,PMC3346273
CYP1A2,benzopyrene,PMC3346273
CYP1A2,aflatoxin b1,PMC3346273
