CURRENT MEDICATIONS OVERVIEW
MEDICATIONS THAT DO NOT HAVE PRESCRIBING CONSIDERATIONS BASED ON myDNA TEST
"bupropion, oestrogen (Premarin Tablets), clonazepam, acetaminophen"
MEDICATIONS WITH MAJOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"Angiotensin receptorblockers",Losartan,CYP2C9,Reduced / inadequate response,-
Anticoagulants,Acenocoumarol,"VKORC1CYP2C9","Significantly increasedacenocoumarol sensitivity",DPWG
"",Warfarin,"VKORC1CYP2C9","Significantly increased warfarinsensitivity",FDA1
Antidiabetics,Glimepiride,CYP2C9,"Increased therapeutic and/oradverse effects",-
"",Glyburide,CYP2C9,"Increased therapeutic and/oradverse effects",-
Antiepileptics,Phenytoin,CYP2C9,Adverse effects,CPIC2
NSAIDs,Celecoxib,CYP2C9,"Increased therapeutic and/oradverse effects",FDA3
"",Flurbiprofen,CYP2C9,Adverse effects,"FDA4,5"
"",Ibuprofen,CYP2C9,Adverse effects,-
"",Meloxicam,CYP2C9,Adverse effects,-
"",Piroxicam,CYP2C9,Adverse effects,-
Statins,Fluvastatin,"SLCO1B1CYP2C9","Increased therapeutic and/oradverse effects",-
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"ADHD -miscellaneous agents",Atomoxetine,CYP2D6,Adverse effects,-
"Angiotensin receptorblockers",Irbesartan,CYP2C9,"Increased therapeutic and/oradverse effects",-
Antiarrhythmics,Flecainide,CYP2D6,Adverse effects,DPWG6
"",Propafenone,CYP2D6,Adverse effects,DPWG6
"Antidepressants -other",Mirtazapine,"CYP2D6CYP1A2",Altered response,-
"Antidepressants -serotoninnoradrenalinereuptake inhibitors",Duloxetine,"CYP2D6CYP1A2",Reduced / inadequate response,-
"",Venlafaxine,CYP2D6,Adverse effects,DPWG6
"Antidepressants -SSRIs",Fluoxetine,"CYP2D6CYP2C9",Altered response,-
"",Paroxetine,CYP2D6,Adverse effects,CPIC7
"Antidepressants -tricyclicantidepressants",Desipramine,CYP2D6,Adverse effects,CPIC8
"",Nortriptyline,CYP2D6,Adverse effects,CPIC8
Antidiabetics,Gliclazide,"CYP2C9CYP2C19","Increased therapeutic and/oradverse effects",-
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
Antiemetics,Ondansetron,CYP2D6,"Increased therapeutic and/oradverse effects",CPIC9
Antihistamines,Chlorpheniramine,CYP2D6,Adverse effects,-
"",Dexchlorpheniramine,CYP2D6,Adverse effects,-
Antipsychotics,Aripiprazole,CYP2D6,Adverse effects,-
"",Brexpiprazole,CYP2D6,Adverse effects,-
"",Clozapine,CYP1A2,Reduced / inadequate response,-
"",Haloperidol,CYP2D6,Adverse effects,-
"",Olanzapine,CYP1A2,Reduced / inadequate response,-
"",Pimozide,CYP2D6,Adverse effects,
"",Risperidone,CYP2D6,Adverse effects,DPWG6
"",Zuclopenthixol,CYP2D6,Adverse effects,DPWG6
Antitussives,Dextromethorphan,CYP2D6,Altered response,-
Beta blockers,Metoprolol,CYP2D6,Adverse effects,DPWG6
"",Propranolol,"CYP2D6CYP1A2",Altered response,-
Hypnotics,Melatonin,CYP1A2,Reduced / inadequate response,-
"Immunomodulatorsand antineoplastics",Tamoxifen,CYP2D6,Reduced / inadequate response,CPIC10
Miscellaneous,Eliglustat,CYP2D6,Adverse effects,TGA11
"",Naltrexone,OPRM1,"Associated with reducedresponse to naltrexone",
Neurological drugs,Tetrabenazine,CYP2D6,Adverse effects,FDA12
NSAIDs,Diclofenac,CYP2C9,Adverse effects,-
"",Indomethacin,CYP2C9,Adverse effects,-
"",Mefenamic Acid,CYP2C9,Adverse effects,-
Opioid Analgesics,Morphine,OPRM1,"Associated with increasedtherapeutic and/or adverseeffects to morphine",-
"Proton pumpinhibitors",Dexlansoprazole,CYP2C19,Reduced / inadequate response,-
Esomeprazole,CYP2C19,Reduced / inadequate response,-,
Lansoprazole,CYP2C19,Reduced / inadequate response,-,
Omeprazole,CYP2C19,Reduced / inadequate response,-,
Pantoprazole,CYP2C19,Reduced / inadequate response,-,
Rabeprazole,CYP2C19,Reduced / inadequate response,-,
MEDICATIONS WITH USUAL PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"Anticholinergics(genitourinary)",Darifenacin,CYP2D6,"No altered effect predicted bygenotype",-
"",Fesoterodine,CYP2D6,"No altered effect predicted bygenotype",-
"",Tolterodine,CYP2D6,"No altered effect predicted bygenotype",-
Anticholinesterases,Donepezil,CYP2D6,"No altered effect predicted bygenotype",-
"",Galantamine,CYP2D6,"No altered effect predicted bygenotype",-
"Antidepressants -other",Moclobemide,CYP2C19,"No altered effect predicted bygenotype",-
MEDICATIONS WITH USUAL PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"",Vortioxetine,CYP2D6,"No altered effect predicted bygenotype",-
"Antidepressants -SSRIs",Citalopram,CYP2C19,"No altered effect predicted bygenotype",CPIC7
