CURRENT MEDICATIONS OVERVIEW,,
MEDICATION,GENE(S),PRESCRIBING CONSIDERATIONS BASED ON myDNA TEST
"Aripiprazole (Abilify)",CYP2D6,"Minor – result should be considered as may affect medicationresponse"
MEDICATIONS WITH MAJOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"Antidepressants -SSRIs",Citalopram,CYP2C19,Reduced / inadequate response,CPIC1
"",Escitalopram,CYP2C19,Reduced / inadequate response,CPIC1
"Antidepressants -tricyclicantidepressants",Amitriptyline,"CYP2D6CYP2C19",Reduced / inadequate response,CPIC2
"",Clomipramine,"CYP2D6CYP2C19",Reduced / inadequate response,CPIC2
"",Doxepin,"CYP2D6CYP2C19",Reduced / inadequate response,CPIC2
"",Imipramine,"CYP2D6CYP2C19",Reduced / inadequate response,CPIC2
Antiepileptics,Phenytoin,CYP2C9,Adverse effects,CPIC3
Antifungals - Azoles,Voriconazole,CYP2C19,Reduced / inadequate response,CPIC4
Statins,Simvastatin,"SLCO1B1CYP3A4",Adverse effects,CPIC5
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"ADHD -miscellaneous agents",Atomoxetine,CYP2D6,Adverse effects,-
"Angiotensin receptorblockers",Irbesartan,CYP2C9,"Increased therapeutic and/oradverse effects",-
Antiarrhythmics,Flecainide,CYP2D6,Adverse effects,DPWG6
"",Propafenone,CYP2D6,Adverse effects,DPWG6
Anticoagulants,Acenocoumarol,"VKORC1CYP2C9","Increased acenocoumarolsensitivity",DPWG
"",Warfarin,"VKORC1CYP2C9",Increased warfarin sensitivity,FDA7
"Antidepressants -other",Mirtazapine,"CYP2D6CYP1A2",Altered response,-
Moclobemide,CYP2C19,Reduced / inadequate response,-,
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"Antidepressants -serotoninnoradrenalinereuptake inhibitors",Duloxetine,"CYP2D6CYP1A2",Reduced / inadequate response,-
"",Venlafaxine,CYP2D6,Adverse effects,DPWG6
"Antidepressants -SSRIs",Paroxetine,CYP2D6,Adverse effects,CPIC1
"",Sertraline,CYP2C19,Reduced / inadequate response,CPIC1
"Antidepressants -tricyclicantidepressants",Desipramine,CYP2D6,Adverse effects,CPIC2
"",Nortriptyline,CYP2D6,Adverse effects,CPIC2
Antidiabetics,Gliclazide,"CYP2C9CYP2C19","Increased therapeutic and/oradverse effects",-
"",Glimepiride,CYP2C9,"Increased therapeutic and/oradverse effects",-
"",Glyburide,CYP2C9,"Increased therapeutic and/oradverse effects",-
Antiemetics,Ondansetron,CYP2D6,"Increased therapeutic and/oradverse effects",CPIC8
Antihistamines,Chlorpheniramine,CYP2D6,Adverse effects,-
"",Dexchlorpheniramine,CYP2D6,Adverse effects,-
Antiplatelet drugs,Clopidogrel,CYP2C19,Adverse effects,CPIC9
Antipsychotics,Aripiprazole,CYP2D6,Adverse effects,-
"",Brexpiprazole,CYP2D6,Adverse effects,-
"",Clozapine,CYP1A2,Reduced / inadequate response,-
"",Haloperidol,CYP2D6,Adverse effects,-
"",Olanzapine,CYP1A2,Reduced / inadequate response,-
"",Pimozide,CYP2D6,Adverse effects,
