MEDICATIONS OF INTEREST OVERVIEW,,
MEDICATION,GENE(S),PRESCRIBING CONSIDERATIONS BASED ON myDNA TEST
"Pantoprazole",CYP2C19,"Minor – result should be considered as may affect medicationresponse"
"Quetiapine",CYP3A4,Usual prescribing considerations apply
MEDICATIONS THAT DO NOT HAVE PRESCRIBING CONSIDERATIONS BASED ON myDNA TEST,,
lorazepam,,
MEDICATIONS WITH MAJOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
Anticoagulants,Acenocoumarol,"VKORC1CYP2C9","Significantly increasedacenocoumarol sensitivity",DPWG
"",Warfarin,"VKORC1CYP2C9","Significantly increased warfarinsensitivity",FDA1
Antiepileptics,Phenytoin,CYP2C9,Adverse effects,CPIC2
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"ADHD -miscellaneous agents",Atomoxetine,CYP2D6,Adverse effects,-
"Angiotensin receptorblockers",Irbesartan,CYP2C9,"Increased therapeutic and/oradverse effects",-
"",Losartan,CYP2C9,Reduced / inadequate response,-
Antiarrhythmics,Flecainide,CYP2D6,Adverse effects,DPWG3
"",Propafenone,CYP2D6,Adverse effects,DPWG3
"Antidepressants -serotoninnoradrenalinereuptake inhibitors",Venlafaxine,CYP2D6,Adverse effects,DPWG3
"Antidepressants -SSRIs",Fluoxetine,"CYP2D6CYP2C9",Altered response,-
"",Paroxetine,CYP2D6,Adverse effects,CPIC4
"Antidepressants -tricyclicantidepressants",Desipramine,CYP2D6,Adverse effects,CPIC5
"",Nortriptyline,CYP2D6,Adverse effects,CPIC5
Antidiabetics,Gliclazide,"CYP2C9CYP2C19","Increased therapeutic and/oradverse effects",-
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
