CURRENT MEDICATIONS OVERVIEW,,
MEDICATION,GENE(S),PRESCRIBING CONSIDERATIONS BASED ON myDNA TEST
"Venlafaxine",CYP2D6,"Minor – result should be considered as may affect medicationresponse"
MEDICATIONS THAT DO NOT HAVE PRESCRIBING CONSIDERATIONS BASED ON myDNA TEST,,
"valproate, clonazepam, bupropion, lorazepam",,
MEDICATIONS WITH MAJOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
Antiarrhythmics,Flecainide,CYP2D6,Adverse effects,DPWG1
"",Propafenone,CYP2D6,Adverse effects,DPWG1
"Antidepressants -tricyclicantidepressants",Amitriptyline,"CYP2D6CYP2C19",Adverse effects,CPIC2
"",Clomipramine,"CYP2D6CYP2C19",Adverse effects,CPIC2
"",Desipramine,CYP2D6,Adverse effects,CPIC2
"",Doxepin,"CYP2D6CYP2C19",Adverse effects,CPIC2
"",Imipramine,"CYP2D6CYP2C19",Adverse effects,CPIC2
"",Nortriptyline,CYP2D6,Adverse effects,CPIC2
Antiplatelet drugs,Clopidogrel,CYP2C19,Reduced / inadequate response,CPIC3
Beta blockers,Metoprolol,CYP2D6,Adverse effects,DPWG1
"Immunomodulatorsand antineoplastics",Tamoxifen,CYP2D6,Reduced / inadequate response,CPIC4
Opioid Analgesics,Codeine,"CYP2D6OPRM1",Reduced / inadequate response,CPIC5
MEDICATIONS WITH MAJOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"",Tramadol,CYP2D6,Reduced / inadequate response,DPWG1
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"ADHD -miscellaneous agents",Atomoxetine,CYP2D6,Adverse effects,-
"Anticholinergics(genitourinary)",Darifenacin,CYP2D6,Adverse effects,-
"",Fesoterodine,CYP2D6,Adverse effects,-
"",Tolterodine,CYP2D6,Adverse effects,-
Anticholinesterases,Donepezil,CYP2D6,Adverse effects,-
"",Galantamine,CYP2D6,Adverse effects,-
Anticoagulants,Acenocoumarol,"VKORC1CYP2C9","Increased acenocoumarolsensitivity",
"",Warfarin,"VKORC1CYP2C9",Increased warfarin sensitivity,FDA6
"Antidepressants -other",Mirtazapine,"CYP2D6CYP1A2",Altered response,-
"",Moclobemide,CYP2C19,Adverse effects,-
"",Vortioxetine,CYP2D6,Adverse effects,-
"Antidepressants -serotoninnoradrenalinereuptake inhibitors",Duloxetine,"CYP2D6CYP1A2",Altered response,-
"",Venlafaxine,CYP2D6,Adverse effects,DPWG1
"Antidepressants -SSRIs",Citalopram,CYP2C19,Adverse effects,CPIC7
"",Escitalopram,CYP2C19,Adverse effects,CPIC7
"",Fluoxetine,"CYP2D6CYP2C9",Altered response,-
"",Fluvoxamine,"CYP2D6CYP1A2",Adverse effects,CPIC7
"",Paroxetine,CYP2D6,Adverse effects,CPIC7
"",Sertraline,CYP2C19,Adverse effects,CPIC7
Antidiabetics,Gliclazide,"CYP2C9CYP2C19","Increased therapeutic and/oradverse effects",-
Antiemetics,Metoclopramide,CYP2D6,Adverse effects,-
"",Ondansetron,CYP2D6,"Increased therapeutic and/oradverse effects",CPIC8
Antifungals - Azoles,Voriconazole,CYP2C19,"Increased therapeutic and/oradverse effects",CPIC9
Antihistamines,Chlorpheniramine,CYP2D6,Adverse effects,-
"",Dexchlorpheniramine,CYP2D6,Adverse effects,-
"",Promethazine,CYP2D6,Adverse effects,-
Antipsychotics,Aripiprazole,CYP2D6,Adverse effects,-
"",Brexpiprazole,CYP2D6,Adverse effects,-
"",Chlorpromazine,CYP2D6,Adverse effects,-
"",Clozapine,CYP1A2,Reduced / inadequate response,-
"",Haloperidol,CYP2D6,Adverse effects,-
"",Olanzapine,CYP1A2,Reduced / inadequate response,-
"",Pimozide,CYP2D6,Adverse effects,
"",Risperidone,CYP2D6,Adverse effects,DPWG1
"",Zuclopenthixol,CYP2D6,Adverse effects,DPWG1
Antitussives,Dextromethorphan,CYP2D6,Adverse effects,-
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
Benzodiazepines,Clobazam,CYP2C19,Adverse effects,-
"",Diazepam,CYP2C19,Adverse effects,-
Beta blockers,Carvedilol,CYP2D6,Adverse effects,-
"",Nebivolol,CYP2D6,Adverse effects,-
"",Propranolol,"CYP2D6CYP1A2",Altered response,-
"Glaucoma - ocularpreparations",Timolol,CYP2D6,Adverse effects,-
Hypnotics,Melatonin,CYP1A2,Reduced / inadequate response,-
Miscellaneous,Cyclophosphamide,CYP2C19,Reduced / inadequate response,-
"",Eliglustat,CYP2D6,Adverse effects,TGA10
"",Naltrexone,OPRM1,"Associated with reducedresponse to naltrexone",
"",Proguanil,CYP2C19,Reduced / inadequate response,-
Neurological drugs,Tetrabenazine,CYP2D6,Adverse effects,FDA11
Opioid Analgesics,Hydrocodone,CYP2D6,Altered response,
"",Morphine,OPRM1,"Associated with increasedtherapeutic and/or adverseeffects to morphine",-
"",Oxycodone,CYP2D6,Reduced / inadequate response,DPWG1
"Proton pumpinhibitors",Dexlansoprazole,CYP2C19,"Increased therapeutic and/oradverse effects",FDA12
"",Esomeprazole,CYP2C19,"Increased therapeutic and/oradverse effects",-
"",Lansoprazole,CYP2C19,"Increased therapeutic and/oradverse effects",-
"",Omeprazole,CYP2C19,"Increased therapeutic and/oradverse effects",-
"",Pantoprazole,CYP2C19,"Increased therapeutic and/oradverse effects",-
"",Rabeprazole,CYP2C19,"Increased therapeutic and/oradverse effects",-
Psychostimulants,Dextroamphetamine,CYP2D6,Adverse effects,-
Lisdexamfetamine,CYP2D6,Adverse effects,-,
MEDICATIONS WITH USUAL PRESCRIBING CONSIDERATIONS,,,,
