"","CONSIDERATION","MEDICATION","Freq"
"3","NO","Acetaminophen",15
"7","NO","Acetaminophen ",10
"11","NO","Acetazolamide",1
"15","NO","Acetylsalicylic acid ",1
"19","NO","Adalimumab ",1
"23","NO","Adapalene",1
"27","NO","Allopurinol",2
"31","NO","Alprazolam",1
"33","Major","Amitriptyline ",10
"34","Minor","Amitriptyline ",1
"36","Usual","Amitriptyline ",1
"39","NO","Amlodipine",13
"43","NO","Amoxicillin",1
"47","NO","Amphetamine ",3
"51","NO","Amylase / betaine hydrochloride / papain ",1
"55","NO","Anastrozole",1
"59","NO","Andesartan",1
"62","Minor","Aripiprazole",1
"64","Usual","Aripiprazole",2
"65","Major","Aripiprazole ",2
"66","Minor","Aripiprazole ",1
"68","Usual","Aripiprazole ",3
"71","NO","Aspirin",4
"75","NO","Aspirin ",3
"79","NO","Atenolol",1
"82","Minor","Atorvastatin",5
"84","Usual","Atorvastatin",5
"87","NO","Azathioprine",2
"91","NO","Azelastine",1
"95","NO","Azithromycin",1
"99","NO","Baclofen",1
"103","NO","Beclomethasone dipropionate",2
"107","NO","Betamethasone dipropionate",2
"111","NO","Betamethasone valerate ",2
"115","NO","Bisoprolol",4
"119","NO","Bisoprolol ",1
"123","NO","Bisoprolol,",1
"127","NO","Brimonidine",1
"131","NO","Brinzolamide ",1
"135","NO","Budesonide",2
"139","NO","Budesonide / eformoterol fumarate dihydrate ",7
"143","NO","Buprenorphine ",1
"147","NO","Buprenorphine hydrochloride / naloxone ",1
"151","NO","Bupropion",15
"155","NO","Buspirone",4
"159","NO","Caffeine ",6
"163","NO","Calcium carbonate ",3
"167","NO","Calcium carbonate / potassium bicarbonate / sodium alginate ",1
"171","NO","Candesartan ",2
"175","NO","Carbamazepine",2
"179","NO","Carbidopa / entacapone / levodopa ",1
"184","Usual","Celecoxib ",1
"187","NO","Cephalexin",1
"191","NO","Cetirizine",3
"196","Usual","Chlorpromazine",1
"199","NO","Ciprofloxacin ",1
"201","Major","Citalopram",11
"202","Minor","Citalopram",8
"204","Usual","Citalopram",7
"207","NO","Clindamycin",1
"211","NO","Clobetasol propionate ",2
"215","NO","Clonazepam",11
"219","NO","Clonazepam ",1
"223","NO","Clonidine",2
"225","Major","Clopidogrel",2
"226","Minor","Clopidogrel",3
"232","Usual","Codeine",1
"236","Usual","Codeine ",8
"239","NO","Cyclosporin",1
"243","NO","Cyproterone",1
"247","NO","Dabigatran ",1
"251","NO","Denosumab ",2
"255","NO","Desogestrel / ethinyloestradiol ",2
"259","NO","Desvenlafaxine",1
"263","NO","Desvenlafaxine ",1
"268","Usual","Dexamphetamine",1
"270","Minor","Dextroamphetamine ",1
"272","Usual","Dextroamphetamine ",2
"276","Usual","Diazepam",1
"280","Usual","Diclofenac",8
"282","Minor","Diclofenac ",1
"284","Usual","Diclofenac ",4
"287","NO","Diltiazem",1
"291","NO","Dimenhydrinate ",3
"295","NO","Domperidone",2
"300","Usual","Doxepin",1
"303","NO","Drospirenone / ethinyloestradiol ",2
"306","Minor","Duloxetine",3
"308","Usual","Duloxetine",3
"310","Minor","Duloxetine ",3
"312","Usual","Duloxetine ",1
"315","NO","Dutasteride",1
"319","NO","Dutasteride / tamsulosin ",1
"323","NO","Eletriptan",2
"325","Major","Escitalopram ",12
"326","Minor","Escitalopram ",4
"328","Usual","Escitalopram ",10
"330","Minor","EscitalopramV ",1
"334","Minor","Esomeprazole",3
"338","Minor","Esomeprazole ",1
"343","NO","Estradiol",3
"347","NO","Ethinylestradiol / levonorgestrel ",4
"351","NO","Ethinyloestradiol / levonorgestrel ",1
"355","NO","Ethinyloestradiol / norethisterone ",1
"359","NO","Ezetimibe",2
"363","NO","Fenofibrate ",1
"367","NO","Finasteride",1
"372","Usual","Flecainide",1
"375","NO","Fluorometholone",1
"377","Major","Fluoxetine",1
"378","Minor","Fluoxetine",2
"380","Usual","Fluoxetine",9
"383","NO","Fluticasone",6
"387","NO","Fluticasone ",4
"392","Usual","Fluvoxamine",1
"395","NO","Folic acid",6
"399","NO","Furosemide ",5
"403","NO","Gabapentin",15
"406","Minor","Glibenclamide",1
"408","Usual","Glibenclamide",1
"410","Minor","Gliclazide",2
"412","Usual","Gliclazide",1
"416","Usual","Gliclazide ",1
"419","NO","Glucosamine ",1
"423","NO","Golimumab ",2
"427","NO","Hydrochlorothiazide",6
"431","NO","Hydrochlorothiazide, aspirin ",1
"435","NO","Hydrocortisone",3
"439","NO","Hydrocortisone sodium succinate ",1
"443","NO","Hydromorphone hydrochloride",2
"447","NO","Hydromorphone hydrochloride ",1
"451","NO","Hydroxychloroquine",3
"455","NO","Hydroxyzine hydrochloride",1
"459","NO","Hydroxyzine hydrochloride ",1
"463","NO","Ibandronate sodium ",1
"465","Major","Ibuprofen",1
"466","Minor","Ibuprofen",4
"468","Usual","Ibuprofen",9
"470","Minor","Ibuprofen ",2
"473","Major","Imipramine",1
"479","NO","Indapamide",1
"483","NO","Infliximab ",1
"487","NO","Insulin ",9
"491","NO","Ipratropium ",1
"496","Usual","Irbesartan",2
"499","NO","Ketorolac trometamol",2
"503","NO","Lamotrigine",7
"507","NO","Lamotrigine ",1
"509","Major","Lansoprazole",1
