"","MEDICATION","GENEs","CONSIDERATION","BCP (n=8)","D59 (n=1)","F31 (n=2)","J02 (n=8)","k74 (n=6)","k76 (n=10)","L65 (n=20)","N24 (n=20)","N43 (n=9)","N83 (n=16)","S73 (n=5)","S81 (n=4)","S94 (n=3)","T37 (n=9)","T60 (n=9)","W19 (n=10)","X73 (n=10)"
"1","Acetaminophen",NA,"NO",1,0,0,0,0,0,3,3,3,0,0,2,1,3,4,3,2
"2","Acetazolamide",NA,"NO",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3","Acetylsalicylic acid",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4","Adalimumab",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5","Adapalene",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6","Allopurinol",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"7","Alprazolam",NA,"NO",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Amitriptyline","CYP2C19CYP2D6","Major",0,0,0,1,0,1,1,3,0,0,0,0,0,1,0,1,2
"9","Amitriptyline","CYP2C19CYP2D6","Minor",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10","Amitriptyline","CYP2C19CYP2D6","Usual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"11","Amlodipine",NA,"NO",0,0,0,2,1,1,2,0,1,2,0,1,0,0,2,0,1
"12","Amoxicillin",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"13","Amphetamine",NA,"NO",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"14","Amylase",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15","Anastrozole",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"16","Andesartan",NA,"NO",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"17","Aripiprazole","CYP2D6","Major",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"18","Aripiprazole","CYP2D6","Minor",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"19","Aripiprazole","CYP2D6","Usual",0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0
"20","Aspirin",NA,"NO",0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,1
"21","Atenolol",NA,"NO",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"22","Atorvastatin","CYP3A4SLCO1B1","Minor",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
"23","Atorvastatin","CYP3A4SLCO1B1","Usual",0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
"24","Azathioprine",NA,"NO",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"25","Azelastine",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"26","Azithromycin",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27","Baclofen",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28","Beclomethasone dipropionate",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"29","Betaine hydrochloride",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"30","Betamethasone dipropionate",NA,"NO",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"31","Betamethasone valerate",NA,"NO",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"32","Bisoprolol",NA,"NO",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2
"33","Bisoprolol,",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"34","Brimonidine",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"35","Brinzolamide",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"36","Budesonide",NA,"NO",0,0,0,0,0,0,0,4,0,3,1,0,0,1,0,0,0
"37","Buprenorphine",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"38","Buprenorphine hydrochloride",NA,"NO",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"39","Bupropion",NA,"NO",1,0,0,3,0,3,3,1,0,0,0,0,0,1,1,2,0
"40","Buspirone",NA,"NO",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"41","Caffeine",NA,"NO",0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0
"42","Calcium carbonate",NA,"NO",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"43","Candesartan",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"44","Carbamazepine",NA,"NO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"45","Carbidopa",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"46","Celecoxib","CYP2C9","Usual",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"47","Cephalexin",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"48","Cetirizine",NA,"NO",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"49","Chlorpromazine","CYP2D6","Usual",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"50","Ciprofloxacin",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"51","Citalopram","CYP2C19","Major",0,0,1,0,0,0,2,2,0,3,1,0,0,0,0,2,0
"52","Citalopram","CYP2C19","Minor",0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
"53","Citalopram","CYP2C19","Usual",0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0
"54","Clindamycin",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"55","Clobetasol propionate",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"56","Clonazepam",NA,"NO",1,0,0,1,0,0,2,1,1,2,1,1,1,0,1,0,0
"57","Clonidine",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"58","Clopidogrel","CYP2C19","Major",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"59","Clopidogrel","CYP2C19","Minor",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"60","Codeine","CYP2D6OPRM1","Usual",0,0,0,0,0,0,2,2,0,1,0,1,0,0,2,0,1
"61","Cyclosporin",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"62","Cyproterone",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"63","Dabigatran",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"64","Denosumab",NA,"NO",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"65","Desogestrel",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"66","Desvenlafaxine",NA,"NO",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"67","Dexamphetamine","CYP2D6","Usual",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"68","Dextroamphetamine","CYP2D6","Minor",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"69","Dextroamphetamine","CYP2D6","Usual",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"70","Diazepam","CYP2C19","Usual",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"71","Diclofenac","CYP2C9","Minor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"72","Diclofenac","CYP2C9","Usual",0,0,0,0,0,0,1,4,0,1,0,1,0,1,2,1,1
"73","Diltiazem",NA,"NO",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"74","Dimenhydrinate",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"75","Domperidone",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"76","Doxepin","CYP2C19CYP2D6","Usual",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"77","Drospirenone",NA,"NO",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"78","Duloxetine","CYP1A2CYP2D6","Minor",0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1
"79","Duloxetine","CYP1A2CYP2D6","Usual",0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
"80","Dutasteride",NA,"NO",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"81","Eformoterol fumarate dihydrate",NA,"NO",0,0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,0
"82","Eletriptan",NA,"NO",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"83","Entacapone",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"84","Escitalopram","CYP2C19","Major",0,0,0,2,0,2,3,1,0,1,1,0,0,0,2,0,0
"85","Escitalopram","CYP2C19","Minor",0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"86","Escitalopram","CYP2C19","Usual",0,0,0,0,2,1,2,1,0,2,0,0,0,1,0,1,0
"87","EscitalopramV","CYP2C19","Minor",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"88","Esomeprazole","CYP2C19","Minor",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"89","Estradiol",NA,"NO",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"90","Ethinylestradiol",NA,"NO",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
"91","Ethinyloestradiol",NA,"NO",0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0
"92","Ezetimibe",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"93","Fenofibrate",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"94","Finasteride",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"95","Flecainide","CYP2D6","Usual",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"96","Fluorometholone",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"97","Fluoxetine","CYP2C9CYP2D6","Major",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"98","Fluoxetine","CYP2C9CYP2D6","Minor",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"99","Fluoxetine","CYP2C9CYP2D6","Usual",0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,1,1
"100","Fluticasone",NA,"NO",1,0,0,0,0,1,0,3,0,3,0,1,0,0,0,1,0
"101","Fluvoxamine","CYP1A2CYP2D6","Usual",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Folic acid",NA,"NO",0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0
"103","Furosemide",NA,"NO",0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1
"104","Gabapentin",NA,"NO",0,0,0,1,0,2,2,3,0,1,0,1,0,4,1,0,0
"105","Glibenclamide","CYP2C9","Minor",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"106","Glibenclamide","CYP2C9","Usual",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"107","Gliclazide","CYP2C19CYP2C9","Minor",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"108","Gliclazide","CYP2C19CYP2C9","Usual",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"109","Glucosamine",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"110","Golimumab",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"111","Hydrochlorothiazide",NA,"NO",0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0
"112","Hydrochlorothiazide, aspirin",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"113","Hydrocortisone",NA,"NO",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"114","Hydrocortisone sodium succinate",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"115","Hydromorphone hydrochloride",NA,"NO",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"116","Hydroxychloroquine",NA,"NO",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"117","Hydroxyzine hydrochloride",NA,"NO",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"118","Ibandronate sodium",NA,"NO",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"119","Ibuprofen","CYP2C9","Major",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"120","Ibuprofen","CYP2C9","Minor",0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0
"121","Ibuprofen","CYP2C9","Usual",0,0,1,0,0,0,1,4,1,1,0,0,0,1,0,0,0
"122","Imipramine","CYP2C19CYP2D6","Major",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"123","Indapamide",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"124","Infliximab",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"125","Insulin",NA,"NO",0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,0,2
"126","Ipratropium",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"127","Irbesartan","CYP2C9","Usual",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"128","Ketorolac trometamol",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
