"","MEDICATION","GENEs","CONSIDERATION","BCP (n=8)","D59 (n=1)","F31 (n=2)","J02 (n=8)","k74 (n=6)","k76 (n=10)","L65 (n=20)","N24 (n=20)","N43 (n=9)","N83 (n=16)","S73 (n=5)","S81 (n=4)","S94 (n=3)","T37 (n=9)","T60 (n=9)","W19 (n=10)","X73 (n=10)"
"1","Acenocoumarol","VKORC1CYP2C9","major",4,0,0,2,2,4,11,8,4,5,2,1,1,1,4,5,2
"2","Acenocoumarol","VKORC1CYP2C9","minor",2,1,0,2,3,4,5,5,4,6,2,2,1,6,4,1,4
"3","Acenocoumarol","VKORC1CYP2C9","usual",2,0,2,3,1,2,3,6,1,5,1,1,1,2,1,4,4
"4","Amitriptyline","CYP2D6CYP2C19","major",4,1,1,4,3,5,11,10,3,7,3,1,1,6,6,6,3
"5","Amitriptyline","CYP2D6CYP2C19","minor",0,0,1,1,1,2,1,4,6,2,1,1,1,1,1,2,5
"6","Amitriptyline","CYP2D6CYP2C19","usual",4,0,0,3,2,3,8,6,0,7,1,2,1,2,2,2,2
"7","Aripiprazole","CYP2D6","major",0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0
"8","Aripiprazole","CYP2D6","minor",2,1,0,3,3,4,7,9,4,9,1,1,1,4,2,4,2
"9","Aripiprazole","CYP2D6","usual",6,0,2,5,3,5,11,10,4,7,4,3,2,4,7,6,8
"10","Atazanavir","CYP3A5","minor",1,0,0,0,1,0,1,2,1,4,0,1,0,1,0,2,1
"11","Atazanavir","CYP3A5","usual",7,1,2,8,5,10,19,18,8,12,5,3,3,8,9,8,9
"12","Atomoxetine","CYP2D6","major",0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0
"13","Atomoxetine","CYP2D6","minor",2,1,0,3,3,4,7,9,4,9,1,1,1,4,2,4,2
"14","Atomoxetine","CYP2D6","usual",6,0,2,5,3,5,11,10,4,7,4,3,2,4,7,6,8
"15","Atorvastatin","SLCO1B1CYP3A4","minor",1,1,1,5,3,1,7,4,3,5,1,1,1,4,1,5,2
"16","Atorvastatin","SLCO1B1CYP3A4","usual",7,0,1,3,3,9,13,16,6,11,4,3,2,5,8,5,8
"17","Brexpiprazole","CYP2D6","major",0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0
"18","Brexpiprazole","CYP2D6","minor",2,1,0,3,3,4,7,9,4,9,1,1,1,4,2,4,2
"19","Brexpiprazole","CYP2D6","usual",6,0,2,5,3,5,11,10,4,7,4,3,2,4,7,6,8
"20","Carvedilol","CYP2D6","minor",1,0,0,1,2,2,5,3,1,1,0,0,0,3,0,2,1
"21","Carvedilol","CYP2D6","usual",7,1,2,7,4,8,15,17,8,15,5,4,3,6,9,8,9
"22","Celecoxib","CYP2C9","major",2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1
"23","Celecoxib","CYP2C9","minor",1,1,0,4,2,1,7,5,1,3,2,2,1,1,4,2,2
"24","Celecoxib","CYP2C9","usual",5,0,2,4,4,8,13,14,8,12,3,2,2,7,5,7,7
"25","Chlorpheniramine","CYP2D6","minor",2,1,0,3,3,5,9,10,5,9,1,1,1,5,2,4,2
"26","Chlorpheniramine","CYP2D6","usual",6,0,2,5,3,5,11,10,4,7,4,3,2,4,7,6,8
"27","Chlorpromazine","CYP2D6","minor",1,0,0,1,2,2,5,3,2,1,0,0,0,3,0,2,1
"28","Chlorpromazine","CYP2D6","usual",7,1,2,7,4,8,15,17,7,15,5,4,3,6,9,8,9
"29","Citalopram","CYP2C19","major",4,1,1,4,1,4,7,10,3,7,3,1,1,4,6,5,3
"30","Citalopram","CYP2C19","minor",0,0,1,1,1,2,3,4,6,2,1,1,1,1,1,2,5
"31","Citalopram","CYP2C19","usual",4,0,0,3,4,4,10,6,0,7,1,2,1,4,2,3,2
"32","Clobazam","CYP2C19","major",1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,3,0
"33","Clobazam","CYP2C19","minor",3,1,1,5,2,6,9,13,8,9,4,2,1,5,6,4,8
"34","Clobazam","CYP2C19","usual",4,0,0,3,4,4,10,6,0,7,1,2,1,4,2,3,2
"35","Clomipramine","CYP2D6CYP2C19","major",4,1,1,4,3,5,11,10,3,7,3,1,1,6,6,6,3
"36","Clomipramine","CYP2D6CYP2C19","minor",0,0,1,1,1,2,1,4,6,2,1,1,1,1,1,2,5
"37","Clomipramine","CYP2D6CYP2C19","usual",4,0,0,3,2,3,8,6,0,7,1,2,1,2,2,2,2
"38","Clopidogrel","CYP2C19","major",2,0,2,1,1,2,4,5,7,2,1,1,2,1,2,5,5
"39","Clopidogrel","CYP2C19","minor",2,1,0,4,1,4,6,9,2,7,3,1,0,4,5,2,3
"40","Clopidogrel","CYP2C19","usual",4,0,0,3,4,4,10,6,0,7,1,2,1,4,2,3,2
"41","Clozapine","CYP1A2","minor",5,1,1,3,3,6,7,8,4,9,2,2,3,4,4,4,4
"42","Clozapine","CYP1A2","usual",3,0,1,5,3,4,13,12,5,7,3,2,0,5,5,6,6
"43","Codeine","CYP2D6OPRM1","major",0,0,0,1,2,2,5,3,1,1,0,0,0,3,0,1,0
"44","Codeine","CYP2D6OPRM1","minor",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"45","Codeine","CYP2D6OPRM1","usual",7,1,2,7,4,8,15,17,8,15,5,4,3,6,9,8,9
"46","Cyclophosphamide","CYP2C19","minor",4,1,2,5,2,6,10,14,9,9,4,2,2,5,7,7,8
"47","Cyclophosphamide","CYP2C19","usual",4,0,0,3,4,4,10,6,0,7,1,2,1,4,2,3,2
"48","Darifenacin","CYP2D6","minor",1,0,0,1,2,2,5,3,2,1,0,0,0,3,0,2,1
"49","Darifenacin","CYP2D6","usual",7,1,2,7,4,8,15,17,7,15,5,4,3,6,9,8,9
"50","Desipramine","CYP2D6","major",0,0,0,1,2,2,5,3,1,1,0,0,0,3,0,1,0
"51","Desipramine","CYP2D6","minor",2,1,0,2,1,3,4,7,4,8,1,1,1,2,2,3,2
"52","Desipramine","CYP2D6","usual",6,0,2,5,3,5,11,10,4,7,4,3,2,4,7,6,8
"53","Dexchlorpheniramine","CYP2D6","minor",2,1,0,3,3,5,9,10,5,9,1,1,1,5,2,4,2
"54","Dexchlorpheniramine","CYP2D6","usual",6,0,2,5,3,5,11,10,4,7,4,3,2,4,7,6,8
"55","Dexlansoprazole","CYP2C19","major",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0
"56","Dexlansoprazole","CYP2C19","minor",8,1,2,8,6,10,20,18,9,15,5,4,3,9,9,9,10
"57","Dextroamphetamine","CYP2D6","minor",1,0,0,1,2,2,5,3,1,1,0,0,0,3,0,2,1
"58","Dextroamphetamine","CYP2D6","usual",7,1,2,7,4,8,15,17,8,15,5,4,3,6,9,8,9
